,title_x,year_x,genres,description_x,channel,title_y,year_y,description_y,theater
513,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,050,Monty Python and the Holy Grail,1975,A lackey follows as King Arthur (Graham Chapman) goes questing.,Alamo Drafthouse South Lamar
514,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,050,Spaceballs,1987,President Skroob (Mel Brooks) pits heroes against an evil foe (Rick Moranis).,Alamo Drafthouse South Lamar
515,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,050,Borat Subsequent Moviefilm,2020,Kazakh funnyman Borat risks life and limb when he returns to America with his 15-year-old daughter.,Alamo Drafthouse South Lamar
516,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,050,Mean Girls,2004,A teen (Lindsay Lohan) becomes friends with three cruel schoolmates.,Alamo Drafthouse South Lamar
517,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,050,Tom & Jerry,2021,A desperate event planner hires Tom to get rid of Jerry before he ruins a fancy wedding at a hotel.,AMC Barton Creek Square 14
518,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,050,Jathi Ratnalu,2021,Three men search for love and happiness after leaving prison.,Galaxy Highland
519,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,050,Private Screening,2021,Three men search for love and happiness after leaving prison.,Galaxy Highland
520,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,117,Monty Python and the Holy Grail,1975,A lackey follows as King Arthur (Graham Chapman) goes questing.,Alamo Drafthouse South Lamar
521,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,117,Spaceballs,1987,President Skroob (Mel Brooks) pits heroes against an evil foe (Rick Moranis).,Alamo Drafthouse South Lamar
522,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,117,Borat Subsequent Moviefilm,2020,Kazakh funnyman Borat risks life and limb when he returns to America with his 15-year-old daughter.,Alamo Drafthouse South Lamar
523,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,117,Mean Girls,2004,A teen (Lindsay Lohan) becomes friends with three cruel schoolmates.,Alamo Drafthouse South Lamar
524,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,117,Tom & Jerry,2021,A desperate event planner hires Tom to get rid of Jerry before he ruins a fancy wedding at a hotel.,AMC Barton Creek Square 14
525,Madea's Family Reunion,2006,Comedy,A Southern matriarch (Tyler Perry) must keep the peace while planning a family reunion.,117,Jathi Ratnalu,2021,Three men search for love and happiness after leaving prison.,Galaxy Highland
