,title_x,year_x,genres,description_x,channel,title_y,year_y,description_y,theater
0,Stomp the Yard,2007,Drama,A troubled dancer enrolls in Atlanta's Truth University after his brother's death.,119,Casablanca,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
1,Stomp the Yard,2007,Drama,A troubled dancer enrolls in Atlanta's Truth University after his brother's death.,119,Bring Your Own Movie,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
2,Stomp the Yard,2007,Drama,A troubled dancer enrolls in Atlanta's Truth University after his brother's death.,119,The Star of Destiny,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Texas Spirit Theater
3,Stomp the Yard,2007,Drama,A troubled dancer enrolls in Atlanta's Truth University after his brother's death.,119,Nomadland,2020,A woman embarks on a journey through the American West after losing everything during the recession.,Alamo Drafthouse South Lamar
4,Stomp the Yard,2007,Drama,A troubled dancer enrolls in Atlanta's Truth University after his brother's death.,119,The Father,2020,Anne's attempts to help her elderly father are hindered as he starts to lose his grip on reality.,Alamo Drafthouse South Lamar
5,Stomp the Yard,2007,Drama,A troubled dancer enrolls in Atlanta's Truth University after his brother's death.,119,Boogie,2021,"A basketball phenom navigates a new girlfriend, high school, rivals and the burden of expectation.",AMC Barton Creek Square 14
6,Stomp the Yard,2007,Drama,A troubled dancer enrolls in Atlanta's Truth University after his brother's death.,119,Long Weekend,1978,"Nature closes in on an Australian couple (John Hargreaves, Briony Behets) in the country.",AMC Barton Creek Square 14
7,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,062,Casablanca,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
8,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,062,Bring Your Own Movie,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
9,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,062,The Star of Destiny,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Texas Spirit Theater
10,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,062,Nomadland,2020,A woman embarks on a journey through the American West after losing everything during the recession.,Alamo Drafthouse South Lamar
11,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,062,The Father,2020,Anne's attempts to help her elderly father are hindered as he starts to lose his grip on reality.,Alamo Drafthouse South Lamar
12,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,062,Boogie,2021,"A basketball phenom navigates a new girlfriend, high school, rivals and the burden of expectation.",AMC Barton Creek Square 14
13,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,062,Long Weekend,1978,"Nature closes in on an Australian couple (John Hargreaves, Briony Behets) in the country.",AMC Barton Creek Square 14
14,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,167,Casablanca,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
15,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,167,Bring Your Own Movie,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
16,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,167,The Star of Destiny,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Texas Spirit Theater
17,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,167,Nomadland,2020,A woman embarks on a journey through the American West after losing everything during the recession.,Alamo Drafthouse South Lamar
18,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,167,The Father,2020,Anne's attempts to help her elderly father are hindered as he starts to lose his grip on reality.,Alamo Drafthouse South Lamar
19,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,167,Boogie,2021,"A basketball phenom navigates a new girlfriend, high school, rivals and the burden of expectation.",AMC Barton Creek Square 14
20,Burlesque,2010,Drama,A small-town gal (Christina Aguilera) with a great voice becomes a performer in a musical revue.,167,Long Weekend,1978,"Nature closes in on an Australian couple (John Hargreaves, Briony Behets) in the country.",AMC Barton Creek Square 14
21,Downton Abbey,2019,Drama,The Crawleys and their intrepid staff prepare for a royal visit from the king and queen of England.,518,Casablanca,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
22,Downton Abbey,2019,Drama,The Crawleys and their intrepid staff prepare for a royal visit from the king and queen of England.,518,Bring Your Own Movie,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Violet Crown Cinema
23,Downton Abbey,2019,Drama,The Crawleys and their intrepid staff prepare for a royal visit from the king and queen of England.,518,The Star of Destiny,1942,A nightclub owner (Humphrey Bogart) protects an old flame and her husband from Nazis in Morocco.,Texas Spirit Theater
24,Downton Abbey,2019,Drama,The Crawleys and their intrepid staff prepare for a royal visit from the king and queen of England.,518,Nomadland,2020,A woman embarks on a journey through the American West after losing everything during the recession.,Alamo Drafthouse South Lamar
