,title_x,year_x,genres,description_x,channel,title_y,year_y,description_y,theater
441,Inside Man,2006,Thriller,"A tough detective matches wits with a bank robber, while an enigmatic woman has her own agenda.",086,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
442,Inside Man,2006,Thriller,"A tough detective matches wits with a bank robber, while an enigmatic woman has her own agenda.",110,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
443,Al acecho del leopardo,2011,Thriller,"Durante un viaje por la selva mexicana, tres jóvenes graban en vídeo la matanza de unos campesinos.",984,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
444,Paradise Hills,2019,Thriller,Young women band together to escape from a seemingly idyllic island that holds a sinister secret.,571,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
445,Don't Let Go,2019,Thriller,A detective and his recently murdered niece race to solve the crime before it can happen.,520,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
446,The Vanishing,1993,Thriller,Kidnapper (Jeff Bridges) contacts victim's boyfriend (Kiefer Sutherland) years later.,606,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
447,The Return,2006,Thriller,A young woman (Sarah Michelle Gellar) has visions of the murder of a woman she has never met.,532,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
448,Life on the Line,2015,Thriller,A lineman and his crew risk their lives to keep the electrical grid running during a deadly storm.,083,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
449,Life on the Line,2015,Thriller,A lineman and his crew risk their lives to keep the electrical grid running during a deadly storm.,632,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
450,Stigmata,1999,Thriller,A woman's (Patricia Arquette) visions cause worry in the Vatican.,534,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
451,Becky,2020,Thriller,A rebellious girl turns the tables on a group of convicts at a lakefront house.,554,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
452,House,2008,Thriller,Two stranded couples unwittingly take shelter at an abode infused with evil.,538,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
453,The Tortured,2010,Thriller,A couple get revenge by kidnapping the killer of their child.,557,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
454,Danger Zone,1996,Thriller,Others use engineer (Billy Zane) to locate hijacked plutonium.,640,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
455,Into the Forest,2015,Thriller,Two sisters fight for survival during an apocalyptic blackout in the wilds of the Pacific Northwest.,556,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
456,Snake Eyes,1998,Thriller,Un detective de homicidios investiga el asesinato del ministro de Defensa de Estados Unidos.,536,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
457,Snake Eyes,1998,Thriller,A corrupt detective and his Navy friend probe a U.S. official's assassination at a boxing match.,531,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
458,The Return,2006,Thriller,A young woman (Sarah Michelle Gellar) has visions of the murder of a woman she has never met.,540,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
459,Stigmata,1999,Thriller,A woman's (Patricia Arquette) visions cause worry in the Vatican.,542,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
460,Dressed to Kill,1980,Thriller,"A shrink (Michael Caine), a hooker (Nancy Allen) and others seek a Manhattan slasher.",534,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
461,Absolute Deception,2013,Thriller,A female reporter teams up with a federal agent to uncover the truth behind her husband's death.,582,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
462,Source Code,2011,Thriller,A pilot (Jake Gyllenhaal) awakes in the body of a commuter who died in a train explosion.,623,Dark Web: Cicada 3301,2021,A hacker and a cunning librarian compete in a dark web secret society's global recruitment game.,Galaxy Highland
